state,year,race,births
Alabama,2016,American Indian or Alaska Native,133
Alabama,2016,Asian,1041
Alabama,2016,Black or African American,18181
Alabama,2016,Native Hawaiian or Other Pacific Islander,143
Alabama,2016,White,38778
Alabama,2016,More than one race,875
Alaska,2016,American Indian or Alaska Native,2195
Alaska,2016,Asian,729
Alaska,2016,Black or African American,356
Alaska,2016,Native Hawaiian or Other Pacific Islander,298
Alaska,2016,White,6467
Alaska,2016,More than one race,1164
Arizona,2016,American Indian or Alaska Native,5075
Arizona,2016,Asian,3163
Arizona,2016,Black or African American,4568
Arizona,2016,Native Hawaiian or Other Pacific Islander,244
Arizona,2016,White,69241
Arizona,2016,More than one race,2229
Arkansas,2016,American Indian or Alaska Native,270
Arkansas,2016,Asian,866
Arkansas,2016,Black or African American,7462
Arkansas,2016,Native Hawaiian or Other Pacific Islander,469
Arkansas,2016,White,28583
Arkansas,2016,More than one race,624
California,2016,American Indian or Alaska Native,2336
California,2016,Asian,78683
California,2016,Black or African American,26466
California,2016,Native Hawaiian or Other Pacific Islander,2101
California,2016,White,362021
California,2016,More than one race,17220
Colorado,2016,American Indian or Alaska Native,705
Colorado,2016,Asian,2880
Colorado,2016,Black or African American,3638
Colorado,2016,Native Hawaiian or Other Pacific Islander,189
Colorado,2016,White,57367
Colorado,2016,More than one race,1834
Connecticut,2016,American Indian or Alaska Native,142
Connecticut,2016,Asian,2758
Connecticut,2016,Black or African American,5355
Connecticut,2016,Native Hawaiian or Other Pacific Islander,22
Connecticut,2016,White,26897
Connecticut,2016,More than one race,841
Delaware,2016,American Indian or Alaska Native,19
Delaware,2016,Asian,663
Delaware,2016,Black or African American,3075
Delaware,2016,Native Hawaiian or Other Pacific Islander,12
Delaware,2016,White,6942
Delaware,2016,More than one race,281
District of Columbia,2016,American Indian or Alaska Native,16
District of Columbia,2016,Asian,497
District of Columbia,2016,Black or African American,5480
District of Columbia,2016,Native Hawaiian or Other Pacific Islander,19
District of Columbia,2016,White,3657
District of Columbia,2016,More than one race,189
Florida,2016,American Indian or Alaska Native,318
Florida,2016,Asian,8086
Florida,2016,Black or African American,56594
Florida,2016,Native Hawaiian or Other Pacific Islander,190
Florida,2016,White,157006
Florida,2016,More than one race,2828
Georgia,2016,American Indian or Alaska Native,213
Georgia,2016,Asian,6434
Georgia,2016,Black or African American,47765
Georgia,2016,Native Hawaiian or Other Pacific Islander,178
Georgia,2016,White,73014
Georgia,2016,More than one race,2438
Hawaii,2016,American Indian or Alaska Native,31
Hawaii,2016,Asian,4652
Hawaii,2016,Black or African American,472
Hawaii,2016,Native Hawaiian or Other Pacific Islander,1767
Hawaii,2016,White,4706
Hawaii,2016,More than one race,6431
Idaho,2016,American Indian or Alaska Native,366
Idaho,2016,Asian,393
Idaho,2016,Black or African American,244
Idaho,2016,Native Hawaiian or Other Pacific Islander,65
Idaho,2016,White,21013
Idaho,2016,More than one race,401
Illinois,2016,American Indian or Alaska Native,150
Illinois,2016,Asian,10403
Illinois,2016,Black or African American,27008
Illinois,2016,Native Hawaiian or Other Pacific Islander,56
Illinois,2016,White,114710
Illinois,2016,More than one race,2118
Indiana,2016,American Indian or Alaska Native,106
Indiana,2016,Asian,2504
Indiana,2016,Black or African American,10202
Indiana,2016,Native Hawaiian or Other Pacific Islander,67
Indiana,2016,White,68888
Indiana,2016,More than one race,1324
Iowa,2016,American Indian or Alaska Native,204
Iowa,2016,Asian,1319
Iowa,2016,Black or African American,2585
Iowa,2016,Native Hawaiian or Other Pacific Islander,124
Iowa,2016,White,34576
Iowa,2016,More than one race,595
Kansas,2016,American Indian or Alaska Native,209
Kansas,2016,Asian,1381
Kansas,2016,Black or African American,2790
Kansas,2016,Native Hawaiian or Other Pacific Islander,67
Kansas,2016,White,32816
Kansas,2016,More than one race,790
Kentucky,2016,American Indian or Alaska Native,77
Kentucky,2016,Asian,1250
Kentucky,2016,Black or African American,5228
Kentucky,2016,Native Hawaiian or Other Pacific Islander,90
Kentucky,2016,White,47892
Kentucky,2016,More than one race,912
Louisiana,2016,American Indian or Alaska Native,374
Louisiana,2016,Asian,1471
Louisiana,2016,Black or African American,24726
Louisiana,2016,Native Hawaiian or Other Pacific Islander,46
Louisiana,2016,White,35872
Louisiana,2016,More than one race,689
Maine,2016,American Indian or Alaska Native,97
Maine,2016,Asian,195
Maine,2016,Black or African American,419
Maine,2016,White,11705
Maine,2016,More than one race,286
Maryland,2016,American Indian or Alaska Native,201
Maryland,2016,Asian,5880
Maryland,2016,Black or African American,25641
Maryland,2016,Native Hawaiian or Other Pacific Islander,107
Maryland,2016,White,39640
Maryland,2016,More than one race,1667
Massachusetts,2016,American Indian or Alaska Native,93
Massachusetts,2016,Asian,6685
Massachusetts,2016,Black or African American,9078
Massachusetts,2016,Native Hawaiian or Other Pacific Islander,43
Massachusetts,2016,White,53762
Massachusetts,2016,More than one race,1656
Michigan,2016,American Indian or Alaska Native,464
Michigan,2016,Asian,4441
Michigan,2016,Black or African American,21327
Michigan,2016,Native Hawaiian or Other Pacific Islander,43
Michigan,2016,White,84197
Michigan,2016,More than one race,2843
Minnesota,2016,American Indian or Alaska Native,1205
Minnesota,2016,Asian,5617
Minnesota,2016,Black or African American,8249
Minnesota,2016,Native Hawaiian or Other Pacific Islander,71
Minnesota,2016,White,52823
Minnesota,2016,More than one race,1784
Mississippi,2016,American Indian or Alaska Native,229
Mississippi,2016,Asian,509
Mississippi,2016,Black or African American,16567
Mississippi,2016,Native Hawaiian or Other Pacific Islander,21
Mississippi,2016,White,20335
Mississippi,2016,More than one race,267
Missouri,2016,American Indian or Alaska Native,195
Missouri,2016,Asian,1942
Missouri,2016,Black or African American,10959
Missouri,2016,Native Hawaiian or Other Pacific Islander,236
Missouri,2016,White,59062
Missouri,2016,More than one race,2311
Montana,2016,American Indian or Alaska Native,1422
Montana,2016,Asian,136
Montana,2016,Black or African American,76
Montana,2016,Native Hawaiian or Other Pacific Islander,23
Montana,2016,White,10220
Montana,2016,More than one race,405
Nebraska,2016,American Indian or Alaska Native,465
Nebraska,2016,Asian,992
Nebraska,2016,Black or African American,1949
Nebraska,2016,Native Hawaiian or Other Pacific Islander,40
Nebraska,2016,White,22466
Nebraska,2016,More than one race,677
Nevada,2016,American Indian or Alaska Native,380
Nevada,2016,Asian,2860
Nevada,2016,Black or African American,4594
Nevada,2016,Native Hawaiian or Other Pacific Islander,349
Nevada,2016,White,26430
Nevada,2016,More than one race,1647
New Hampshire,2016,American Indian or Alaska Native,11
New Hampshire,2016,Asian,513
New Hampshire,2016,Black or African American,307
New Hampshire,2016,White,11288
New Hampshire,2016,More than one race,143
New Jersey,2016,American Indian or Alaska Native,155
New Jersey,2016,Asian,13342
New Jersey,2016,Black or African American,17255
New Jersey,2016,Native Hawaiian or Other Pacific Islander,159
New Jersey,2016,White,70504
New Jersey,2016,More than one race,1232
New Mexico,2016,American Indian or Alaska Native,3119
New Mexico,2016,Asian,457
New Mexico,2016,Black or African American,487
New Mexico,2016,Native Hawaiian or Other Pacific Islander,25
New Mexico,2016,White,20126
New Mexico,2016,More than one race,478
New York,2016,American Indian or Alaska Native,588
New York,2016,Asian,29651
New York,2016,Black or African American,43757
New York,2016,Native Hawaiian or Other Pacific Islander,109
New York,2016,White,155451
New York,2016,More than one race,4727
North Carolina,2016,American Indian or Alaska Native,1759
North Carolina,2016,Asian,5647
North Carolina,2016,Black or African American,31773
North Carolina,2016,Native Hawaiian or Other Pacific Islander,259
North Carolina,2016,White,78467
North Carolina,2016,More than one race,2874
North Dakota,2016,American Indian or Alaska Native,947
North Dakota,2016,Asian,329
North Dakota,2016,Black or African American,690
North Dakota,2016,Native Hawaiian or Other Pacific Islander,32
North Dakota,2016,White,9048
North Dakota,2016,More than one race,337
Ohio,2016,American Indian or Alaska Native,166
Ohio,2016,Asian,4500
Ohio,2016,Black or African American,23520
Ohio,2016,Native Hawaiian or Other Pacific Islander,80
Ohio,2016,White,106381
Ohio,2016,More than one race,3438
Oklahoma,2016,American Indian or Alaska Native,5346
Oklahoma,2016,Asian,1488
Oklahoma,2016,Black or African American,4780
Oklahoma,2016,Native Hawaiian or Other Pacific Islander,233
Oklahoma,2016,White,37028
Oklahoma,2016,More than one race,3717
Oregon,2016,American Indian or Alaska Native,584
Oregon,2016,Asian,2494
Oregon,2016,Black or African American,1063
Oregon,2016,Native Hawaiian or Other Pacific Islander,364
Oregon,2016,White,39074
Oregon,2016,More than one race,1956
Pennsylvania,2016,American Indian or Alaska Native,208
Pennsylvania,2016,Asian,7151
Pennsylvania,2016,Black or African American,21571
Pennsylvania,2016,Native Hawaiian or Other Pacific Islander,158
Pennsylvania,2016,White,106685
Pennsylvania,2016,More than one race,3636
Rhode Island,2016,American Indian or Alaska Native,96
Rhode Island,2016,Asian,688
Rhode Island,2016,Black or African American,1195
Rhode Island,2016,Native Hawaiian or Other Pacific Islander,10
Rhode Island,2016,White,8466
Rhode Island,2016,More than one race,343
South Carolina,2016,American Indian or Alaska Native,188
South Carolina,2016,Asian,1239
South Carolina,2016,Black or African American,17759
South Carolina,2016,Native Hawaiian or Other Pacific Islander,68
South Carolina,2016,White,36759
South Carolina,2016,More than one race,1329
South Dakota,2016,American Indian or Alaska Native,1867
South Dakota,2016,Asian,274
South Dakota,2016,Black or African American,376
South Dakota,2016,Native Hawaiian or Other Pacific Islander,13
South Dakota,2016,White,9344
South Dakota,2016,More than one race,401
Tennessee,2016,American Indian or Alaska Native,123
Tennessee,2016,Asian,2081
Tennessee,2016,Black or African American,17400
Tennessee,2016,Native Hawaiian or Other Pacific Islander,125
Tennessee,2016,White,59722
Tennessee,2016,More than one race,1356
Texas,2016,American Indian or Alaska Native,1173
Texas,2016,Asian,22647
Texas,2016,Black or African American,55001
Texas,2016,Native Hawaiian or Other Pacific Islander,621
Texas,2016,White,313694
Texas,2016,More than one race,4911
Utah,2016,American Indian or Alaska Native,557
Utah,2016,Asian,1330
Utah,2016,Black or African American,662
Utah,2016,Native Hawaiian or Other Pacific Islander,469
Utah,2016,White,46335
Utah,2016,More than one race,1111
Vermont,2016,American Indian or Alaska Native,13
Vermont,2016,Asian,171
Vermont,2016,Black or African American,93
Vermont,2016,White,5404
Vermont,2016,More than one race,73
Virginia,2016,American Indian or Alaska Native,194
Virginia,2016,Asian,9002
Virginia,2016,Black or African American,22790
Virginia,2016,Native Hawaiian or Other Pacific Islander,204
Virginia,2016,White,68701
Virginia,2016,More than one race,1569
Washington,2016,American Indian or Alaska Native,1870
Washington,2016,Asian,9889
Washington,2016,Black or African American,4784
Washington,2016,Native Hawaiian or Other Pacific Islander,1370
Washington,2016,White,68579
Washington,2016,More than one race,4013
West Virginia,2016,American Indian or Alaska Native,22
West Virginia,2016,Asian,190
West Virginia,2016,Black or African American,628
West Virginia,2016,White,17906
West Virginia,2016,More than one race,326
Wisconsin,2016,American Indian or Alaska Native,821
Wisconsin,2016,Asian,3324
Wisconsin,2016,Black or African American,6848
Wisconsin,2016,Native Hawaiian or Other Pacific Islander,30
Wisconsin,2016,White,54116
Wisconsin,2016,More than one race,1476
Wyoming,2016,American Indian or Alaska Native,245
Wyoming,2016,Asian,112
Wyoming,2016,Black or African American,93
Wyoming,2016,White,6769
Wyoming,2016,More than one race,160
