state,year,race,births
Alabama,2017,American Indian or Alaska Native,150
Alabama,2017,Asian,1005
Alabama,2017,Black or African American,18467
Alabama,2017,Native Hawaiian or Other Pacific Islander,76
Alabama,2017,White,38285
Alabama,2017,More than one race,958
Alaska,2017,American Indian or Alaska Native,1985
Alaska,2017,Asian,720
Alaska,2017,Black or African American,377
Alaska,2017,Native Hawaiian or Other Pacific Islander,326
Alaska,2017,White,5930
Alaska,2017,More than one race,1107
Arizona,2017,American Indian or Alaska Native,4868
Arizona,2017,Asian,3124
Arizona,2017,Black or African American,4747
Arizona,2017,Native Hawaiian or Other Pacific Islander,244
Arizona,2017,White,66790
Arizona,2017,More than one race,2099
Arkansas,2017,American Indian or Alaska Native,290
Arkansas,2017,Asian,870
Arkansas,2017,Black or African American,7536
Arkansas,2017,Native Hawaiian or Other Pacific Islander,538
Arkansas,2017,White,27581
Arkansas,2017,More than one race,705
California,2017,American Indian or Alaska Native,2261
California,2017,Asian,77274
California,2017,Black or African American,26013
California,2017,Native Hawaiian or Other Pacific Islander,2019
California,2017,White,347129
California,2017,More than one race,16962
Colorado,2017,American Indian or Alaska Native,749
Colorado,2017,Asian,2887
Colorado,2017,Black or African American,3742
Colorado,2017,Native Hawaiian or Other Pacific Islander,192
Colorado,2017,White,54932
Colorado,2017,More than one race,1880
Connecticut,2017,American Indian or Alaska Native,165
Connecticut,2017,Asian,2648
Connecticut,2017,Black or African American,5236
Connecticut,2017,Native Hawaiian or Other Pacific Islander,19
Connecticut,2017,White,26292
Connecticut,2017,More than one race,861
Delaware,2017,American Indian or Alaska Native,33
Delaware,2017,Asian,695
Delaware,2017,Black or African American,3117
Delaware,2017,White,6669
Delaware,2017,More than one race,333
District of Columbia,2017,American Indian or Alaska Native,15
District of Columbia,2017,Asian,473
District of Columbia,2017,Black or African American,5202
District of Columbia,2017,Native Hawaiian or Other Pacific Islander,26
District of Columbia,2017,White,3637
District of Columbia,2017,More than one race,207
Florida,2017,American Indian or Alaska Native,393
Florida,2017,Asian,7915
Florida,2017,Black or African American,57319
Florida,2017,Native Hawaiian or Other Pacific Islander,223
Florida,2017,White,154504
Florida,2017,More than one race,3276
Georgia,2017,American Indian or Alaska Native,199
Georgia,2017,Asian,6533
Georgia,2017,Black or African American,47309
Georgia,2017,Native Hawaiian or Other Pacific Islander,178
Georgia,2017,White,72415
Georgia,2017,More than one race,2609
Hawaii,2017,American Indian or Alaska Native,41
Hawaii,2017,Asian,4689
Hawaii,2017,Black or African American,409
Hawaii,2017,Native Hawaiian or Other Pacific Islander,1706
Hawaii,2017,White,4398
Hawaii,2017,More than one race,6274
Idaho,2017,American Indian or Alaska Native,367
Idaho,2017,Asian,411
Idaho,2017,Black or African American,286
Idaho,2017,Native Hawaiian or Other Pacific Islander,62
Idaho,2017,White,20590
Idaho,2017,More than one race,465
Illinois,2017,American Indian or Alaska Native,145
Illinois,2017,Asian,9980
Illinois,2017,Black or African American,26874
Illinois,2017,Native Hawaiian or Other Pacific Islander,64
Illinois,2017,White,110092
Illinois,2017,More than one race,2235
Indiana,2017,American Indian or Alaska Native,93
Indiana,2017,Asian,2591
Indiana,2017,Black or African American,10428
Indiana,2017,Native Hawaiian or Other Pacific Islander,68
Indiana,2017,White,67573
Indiana,2017,More than one race,1417
Iowa,2017,American Indian or Alaska Native,250
Iowa,2017,Asian,1383
Iowa,2017,Black or African American,2797
Iowa,2017,Native Hawaiian or Other Pacific Islander,148
Iowa,2017,White,33197
Iowa,2017,More than one race,655
Kansas,2017,American Indian or Alaska Native,211
Kansas,2017,Asian,1332
Kansas,2017,Black or African American,2825
Kansas,2017,Native Hawaiian or Other Pacific Islander,99
Kansas,2017,White,31094
Kansas,2017,More than one race,958
Kentucky,2017,American Indian or Alaska Native,67
Kentucky,2017,Asian,1241
Kentucky,2017,Black or African American,5322
Kentucky,2017,Native Hawaiian or Other Pacific Islander,102
Kentucky,2017,White,47098
Kentucky,2017,More than one race,922
Louisiana,2017,American Indian or Alaska Native,326
Louisiana,2017,Asian,1330
Louisiana,2017,Black or African American,24215
Louisiana,2017,Native Hawaiian or Other Pacific Islander,45
Louisiana,2017,White,34308
Louisiana,2017,More than one race,794
Maine,2017,American Indian or Alaska Native,88
Maine,2017,Asian,221
Maine,2017,Black or African American,547
Maine,2017,White,11177
Maine,2017,More than one race,261
Maryland,2017,American Indian or Alaska Native,179
Maryland,2017,Asian,5898
Maryland,2017,Black or African American,25252
Maryland,2017,Native Hawaiian or Other Pacific Islander,116
Maryland,2017,White,38318
Maryland,2017,More than one race,1878
Massachusetts,2017,American Indian or Alaska Native,77
Massachusetts,2017,Asian,6398
Massachusetts,2017,Black or African American,9479
Massachusetts,2017,Native Hawaiian or Other Pacific Islander,37
Massachusetts,2017,White,52941
Massachusetts,2017,More than one race,1770
Michigan,2017,American Indian or Alaska Native,438
Michigan,2017,Asian,4602
Michigan,2017,Black or African American,21623
Michigan,2017,Native Hawaiian or Other Pacific Islander,46
Michigan,2017,White,81953
Michigan,2017,More than one race,2764
Minnesota,2017,American Indian or Alaska Native,1179
Minnesota,2017,Asian,5559
Minnesota,2017,Black or African American,8621
Minnesota,2017,Native Hawaiian or Other Pacific Islander,63
Minnesota,2017,White,51529
Minnesota,2017,More than one race,1644
Mississippi,2017,American Indian or Alaska Native,223
Mississippi,2017,Asian,538
Mississippi,2017,Black or African American,16738
Mississippi,2017,Native Hawaiian or Other Pacific Islander,13
Mississippi,2017,White,19569
Mississippi,2017,More than one race,276
Missouri,2017,American Indian or Alaska Native,227
Missouri,2017,Asian,1853
Missouri,2017,Black or African American,11080
Missouri,2017,Native Hawaiian or Other Pacific Islander,220
Missouri,2017,White,57341
Missouri,2017,More than one race,2313
Montana,2017,American Indian or Alaska Native,1304
Montana,2017,Asian,133
Montana,2017,Black or African American,76
Montana,2017,Native Hawaiian or Other Pacific Islander,21
