state,2019year,race,2019births
Alabama,2019,American Indian or Alaska Native,189
Alabama,2019,Asian,930
Alabama,2019,Black or African American,18401
Alabama,2019,Native Hawaiian or Other Pacific Islander,76
Alabama,2019,White,37932
Alabama,2019,More than one race,1087
Alaska,2019,American Indian or Alaska Native,1949
Alaska,2019,Asian,613
Alaska,2019,Black or African American,341
Alaska,2019,Native Hawaiian or Other Pacific Islander,321
Alaska,2019,White,5550
Alaska,2019,More than one race,1048
Arizona,2019,American Indian or Alaska Native,4474
Arizona,2019,Asian,2961
Arizona,2019,Black or African American,5043
Arizona,2019,Native Hawaiian or Other Pacific Islander,274
Arizona,2019,White,64192
Arizona,2019,More than one race,2431
Arkansas,2019,American Indian or Alaska Native,253
Arkansas,2019,Asian,761
Arkansas,2019,Black or African American,7362
Arkansas,2019,Native Hawaiian or Other Pacific Islander,617
Arkansas,2019,White,26878
Arkansas,2019,More than one race,693
California,2019,American Indian or Alaska Native,2372
California,2019,Asian,74102
California,2019,Black or African American,25605
California,2019,Native Hawaiian or Other Pacific Islander,2003
California,2019,White,326641
California,2019,More than one race,15756
Colorado,2019,American Indian or Alaska Native,699
Colorado,2019,Asian,2714
Colorado,2019,Black or African American,3620
Colorado,2019,Native Hawaiian or Other Pacific Islander,226
Colorado,2019,White,53697
Colorado,2019,More than one race,1913
Connecticut,2019,American Indian or Alaska Native,264
Connecticut,2019,Asian,2248
Connecticut,2019,Black or African American,5209
Connecticut,2019,Native Hawaiian or Other Pacific Islander,18
Connecticut,2019,White,25639
Connecticut,2019,More than one race,880
Delaware,2019,American Indian or Alaska Native,25
Delaware,2019,Asian,640
Delaware,2019,Black or African American,3064
Delaware,2019,Native Hawaiian or Other Pacific Islander,27
Delaware,2019,White,6433
Delaware,2019,More than one race,373
District of Columbia,2019,American Indian or Alaska Native,25
District of Columbia,2019,Asian,422
District of Columbia,2019,Black or African American,4417
District of Columbia,2019,Native Hawaiian or Other Pacific Islander,23
District of Columbia,2019,White,3975
District of Columbia,2019,More than one race,217
Florida,2019,American Indian or Alaska Native,401
Florida,2019,Asian,7441
Florida,2019,Black or African American,52202
Florida,2019,Native Hawaiian or Other Pacific Islander,198
Florida,2019,White,156463
Florida,2019,More than one race,3297
Georgia,2019,American Indian or Alaska Native,151
Georgia,2019,Asian,6093
Georgia,2019,Black or African American,45271
Georgia,2019,Native Hawaiian or Other Pacific Islander,207
Georgia,2019,White,71961
Georgia,2019,More than one race,2688
Hawaii,2019,American Indian or Alaska Native,31
Hawaii,2019,Asian,4373
Hawaii,2019,Black or African American,436
Hawaii,2019,Native Hawaiian or Other Pacific Islander,1710
Hawaii,2019,White,4210
Hawaii,2019,More than one race,6037
Idaho,2019,American Indian or Alaska Native,346
Idaho,2019,Asian,390
Idaho,2019,Black or African American,304
Idaho,2019,Native Hawaiian or Other Pacific Islander,79
Idaho,2019,White,20437
Idaho,2019,More than one race,507
Illinois,2019,American Indian or Alaska Native,121
Illinois,2019,Asian,9333
Illinois,2019,Black or African American,23990
Illinois,2019,Native Hawaiian or Other Pacific Islander,57
Illinois,2019,White,104329
Illinois,2019,More than one race,2298
Indiana,2019,American Indian or Alaska Native,88
Indiana,2019,Asian,2333
Indiana,2019,Black or African American,10630
Indiana,2019,Native Hawaiian or Other Pacific Islander,87
Indiana,2019,White,66071
Indiana,2019,More than one race,1650
Iowa,2019,American Indian or Alaska Native,231
Iowa,2019,Asian,1154
Iowa,2019,Black or African American,2957
Iowa,2019,Native Hawaiian or Other Pacific Islander,189
Iowa,2019,White,32400
Iowa,2019,More than one race,718
Kansas,2019,American Indian or Alaska Native,212
Kansas,2019,Asian,1256
Kansas,2019,Black or African American,2636
Kansas,2019,Native Hawaiian or Other Pacific Islander,83
Kansas,2019,White,30276
Kansas,2019,More than one race,932
Kentucky,2019,American Indian or Alaska Native,96
Kentucky,2019,Asian,1145
Kentucky,2019,Black or African American,5351
Kentucky,2019,Native Hawaiian or Other Pacific Islander,96
Kentucky,2019,White,45299
Kentucky,2019,More than one race,1082
Louisiana,2019,American Indian or Alaska Native,344
Louisiana,2019,Asian,1249
Louisiana,2019,Black or African American,23091
Louisiana,2019,Native Hawaiian or Other Pacific Islander,114
Louisiana,2019,White,33354
Louisiana,2019,More than one race,789
Maine,2019,American Indian or Alaska Native,96
Maine,2019,Asian,218
Maine,2019,Black or African American,552
Maine,2019,White,10643
Maine,2019,More than one race,263
Maryland,2019,American Indian or Alaska Native,416
Maryland,2019,Asian,5135
Maryland,2019,Black or African American,23189
Maryland,2019,Native Hawaiian or Other Pacific Islander,121
Maryland,2019,White,39431
Maryland,2019,More than one race,1886
