Notes,State of Residence,County of Residence,Year,Births,% of Total Births
,Alabama,"Baldwin County, AL",2016,2247,0.01%
,Alabama,"Baldwin County, AL",2017,2322,0.02%
,Alabama,"Baldwin County, AL",2018,2290,0.01%
,Alabama,"Baldwin County, AL",2019,2329,0.02%
Total,Alabama,"Baldwin County, AL",,9188,0.06%
,Alabama,"Calhoun County, AL",2016,1357,0.01%
,Alabama,"Calhoun County, AL",2017,1338,0.01%
,Alabama,"Calhoun County, AL",2018,1265,0.01%
,Alabama,"Calhoun County, AL",2019,1383,0.01%
Total,Alabama,"Calhoun County, AL",,5343,0.03%
,Alabama,"Etowah County, AL",2016,1214,0.01%
,Alabama,"Etowah County, AL",2017,1213,0.01%
,Alabama,"Etowah County, AL",2018,1191,0.01%
,Alabama,"Etowah County, AL",2019,1236,0.01%
Total,Alabama,"Etowah County, AL",,4854,0.03%
,Alabama,"Houston County, AL",2016,1333,0.01%
,Alabama,"Houston County, AL",2017,1295,0.01%
,Alabama,"Houston County, AL",2018,1368,0.01%
,Alabama,"Houston County, AL",2019,1336,0.01%
Total,Alabama,"Houston County, AL",,5332,0.03%
,Alabama,"Jefferson County, AL",2016,8655,0.06%
,Alabama,"Jefferson County, AL",2017,8706,0.06%
,Alabama,"Jefferson County, AL",2018,8437,0.05%
,Alabama,"Jefferson County, AL",2019,8481,0.06%
Total,Alabama,"Jefferson County, AL",,34279,0.22%
,Alabama,"Lee County, AL",2016,1898,0.01%
,Alabama,"Lee County, AL",2017,1898,0.01%
,Alabama,"Lee County, AL",2018,1810,0.01%
,Alabama,"Lee County, AL",2019,1879,0.01%
Total,Alabama,"Lee County, AL",,7485,0.05%
,Alabama,"Madison County, AL",2016,4228,0.03%
,Alabama,"Madison County, AL",2017,4253,0.03%
,Alabama,"Madison County, AL",2018,4262,0.03%
,Alabama,"Madison County, AL",2019,4260,0.03%
Total,Alabama,"Madison County, AL",,17003,0.11%
,Alabama,"Mobile County, AL",2016,5504,0.04%
,Alabama,"Mobile County, AL",2017,5607,0.04%
,Alabama,"Mobile County, AL",2018,5549,0.04%
,Alabama,"Mobile County, AL",2019,5372,0.04%
Total,Alabama,"Mobile County, AL",,22032,0.14%
,Alabama,"Montgomery County, AL",2016,3139,0.02%
,Alabama,"Montgomery County, AL",2017,3172,0.02%
,Alabama,"Montgomery County, AL",2018,3139,0.02%
,Alabama,"Montgomery County, AL",2019,3167,0.02%
Total,Alabama,"Montgomery County, AL",,12617,0.08%
,Alabama,"Morgan County, AL",2016,1470,0.01%
,Alabama,"Morgan County, AL",2017,1435,0.01%
,Alabama,"Morgan County, AL",2018,1432,0.01%
,Alabama,"Morgan County, AL",2019,1435,0.01%
Total,Alabama,"Morgan County, AL",,5772,0.04%
,Alabama,"Shelby County, AL",2016,2387,0.02%
,Alabama,"Shelby County, AL",2017,2283,0.01%
,Alabama,"Shelby County, AL",2018,2250,0.01%
,Alabama,"Shelby County, AL",2019,2206,0.01%
Total,Alabama,"Shelby County, AL",,9126,0.06%
,Alabama,"Tuscaloosa County, AL",2016,2591,0.02%
,Alabama,"Tuscaloosa County, AL",2017,2538,0.02%
