state,county,year,births,birthrate,fertilityrate
Alabama,"Baldwin County, AL",2016,2247,10.77,61.3
Alabama,"Baldwin County, AL",2017,2322,10.92,62.42
Alabama,"Baldwin County, AL",2018,2290,,
Alabama,"Baldwin County, AL",2019,2329,,
Alabama,"Baldwin County, AL",,9188,21.81,124.41
Alabama,"Calhoun County, AL",2016,1357,11.84,60.91
Alabama,"Calhoun County, AL",2017,1338,11.66,60.01
Alabama,"Calhoun County, AL",2018,1265,,
Alabama,"Calhoun County, AL",2019,1383,,
Alabama,"Calhoun County, AL",,5343,23.3,119.87
Alabama,"Etowah County, AL",2016,1214,11.84,63.76
Alabama,"Etowah County, AL",2017,1213,11.8,63.97
Alabama,"Etowah County, AL",2018,1191,,
Alabama,"Etowah County, AL",2019,1236,,
Alabama,"Etowah County, AL",,4854,23.64,127.73
Alabama,"Houston County, AL",2016,1333,12.81,66.12
Alabama,"Houston County, AL",2017,1295,12.41,64.46
Alabama,"Houston County, AL",2018,1368,,
Alabama,"Houston County, AL",2019,1336,,
Alabama,"Houston County, AL",,5332,25.59,132.47
Alabama,"Jefferson County, AL",2016,8655,13.12,63.86
Alabama,"Jefferson County, AL",2017,8706,13.21,64.09
Alabama,"Jefferson County, AL",2018,8437,,
Alabama,"Jefferson County, AL",2019,8481,,
Alabama,"Jefferson County, AL",,34279,25.99,126.32
Alabama,"Lee County, AL",2016,1898,11.94,48.63
Alabama,"Lee County, AL",2017,1898,11.74,48.43
Alabama,"Lee County, AL",2018,1810,,
Alabama,"Lee County, AL",2019,1879,,
Alabama,"Lee County, AL",,7485,23.35,95.7
Alabama,"Madison County, AL",2016,4228,11.84,59.62
Alabama,"Madison County, AL",2017,4253,11.78,59.64
Alabama,"Madison County, AL",2018,4262,,
Alabama,"Madison County, AL",2019,4260,,
Alabama,"Madison County, AL",,17003,23.68,119.55
Alabama,"Mobile County, AL",2016,5504,13.27,65.87
Alabama,"Mobile County, AL",2017,5607,13.54,67.39
Alabama,"Mobile County, AL",2018,5549,,
Alabama,"Mobile County, AL",2019,5372,,
Alabama,"Mobile County, AL",,22032,26.58,132.11
Alabama,"Montgomery County, AL",2016,3139,13.87,65.31
Alabama,"Montgomery County, AL",2017,3172,14,66.37
Alabama,"Montgomery County, AL",2018,3139,,
Alabama,"Montgomery County, AL",2019,3167,,
Alabama,"Montgomery County, AL",,12617,27.85,131.63
Alabama,"Morgan County, AL",2016,1470,12.35,68.26
Alabama,"Morgan County, AL",2017,1435,12.08,67.23
Alabama,"Morgan County, AL",2018,1432,,
Alabama,"Morgan County, AL",2019,1435,,
Alabama,"Morgan County, AL",,5772,24.27,134.61
Alabama,"Shelby County, AL",2016,2387,11.33,57.01
Alabama,"Shelby County, AL",2017,2283,10.69,54.5
Alabama,"Shelby County, AL",2018,2250,,
Alabama,"Shelby County, AL",2019,2206,,
Alabama,"Shelby County, AL",,9126,21.51,108.95
Alabama,"Tuscaloosa County, AL",2016,2591,12.57,51.74
Alabama,"Tuscaloosa County, AL",2017,2538,12.21,50.91
Alabama,"Tuscaloosa County, AL",2018,2406,,
Alabama,"Tuscaloosa County, AL",2019,2630,,
Alabama,"Tuscaloosa County, AL",,10165,24.56,101.72
Alabama,"Unidentified Counties, AL",2016,23128,11.67,63.52
Alabama,"Unidentified Counties, AL",2017,22881,11.57,63.39
Alabama,"Unidentified Counties, AL",2018,22362,4.57,23.57
Alabama,"Unidentified Counties, AL",2019,22901,4.67,24.12
Alabama,"Unidentified Counties, AL",,91272,6.64,34.79
Alabama,,,234468,12.01,61.69
Alaska,"Anchorage Borough, AK",2016,4518,15.15,71.19
Alaska,"Anchorage Borough, AK",2017,4136,14.05,66.3
Alaska,"Anchorage Borough, AK",2018,3975,,
Alaska,"Anchorage Borough, AK",2019,3945,,
Alaska,"Anchorage Borough, AK",,16574,27.97,131.7
Alaska,"Unidentified Counties, AK",2016,6691,15.08,79.74
Alaska,"Unidentified Counties, AK",2017,6309,14.16,75.39
Alaska,"Unidentified Counties, AK",2018,6111,8.29,41.97
Alaska,"Unidentified Counties, AK",2019,5877,8.03,40.73
Alaska,"Unidentified Counties, AK",,24988,10.6,54.62
Alaska,,,41562,14.09,71.25
Arizona,"Cochise County, AZ",2016,1529,12.16,75.22
Arizona,"Cochise County, AZ",2017,1335,10.7,66.24
Arizona,"Cochise County, AZ",2018,1354,,
Arizona,"Cochise County, AZ",2019,1341,,
Arizona,"Cochise County, AZ",,5559,22.19,137.32
Arizona,"Coconino County, AZ",2016,1612,11.44,47.07
Arizona,"Coconino County, AZ",2017,1508,10.71,43.91
Arizona,"Coconino County, AZ",2018,1506,,
Arizona,"Coconino County, AZ",2019,1369,,
Arizona,"Coconino County, AZ",,5995,21.28,87.41
Arizona,"Maricopa County, AZ",2016,54126,12.76,63.27
Arizona,"Maricopa County, AZ",2017,52633,12.22,60.72
Arizona,"Maricopa County, AZ",2018,51854,,
Arizona,"Maricopa County, AZ",2019,51165,,
Arizona,"Maricopa County, AZ",,209778,24.54,121.8
Arizona,"Mohave County, AZ",2016,1802,8.78,64.37
Arizona,"Mohave County, AZ",2017,1753,8.46,62.54
Arizona,"Mohave County, AZ",2018,1796,,
Arizona,"Mohave County, AZ",2019,1733,,
Arizona,"Mohave County, AZ",,7084,17.18,126.44
Arizona,"Navajo County, AZ",2016,1497,13.61,79.75
Arizona,"Navajo County, AZ",2017,1508,13.84,81.21
Arizona,"Navajo County, AZ",2018,1381,,
Arizona,"Navajo County, AZ",2019,1359,,
Arizona,"Navajo County, AZ",,5745,26.24,153.86
Arizona,"Pima County, AZ",2016,11421,11.24,58.37
Arizona,"Pima County, AZ",2017,10983,10.74,55.53
