state,year,race,births
Alabama,2016,American Indian or Alaska Native,133
Alabama,2016,Asian,1041
Alabama,2016,Black or African American,18181
Alabama,2016,Native Hawaiian or Other Pacific Islander,143
Alabama,2016,White,38778
Alabama,2016,More than one race,875
Alabama,2017,American Indian or Alaska Native,150
Alabama,2017,Asian,1005
Alabama,2017,Black or African American,18467
Alabama,2017,Native Hawaiian or Other Pacific Islander,76
Alabama,2017,White,38285
Alabama,2017,More than one race,958
Alabama,2018,American Indian or Alaska Native,175
Alabama,2018,Asian,946
Alabama,2018,Black or African American,17738
Alabama,2018,Native Hawaiian or Other Pacific Islander,122
Alabama,2018,White,37865
Alabama,2018,More than one race,915
Alabama,2019,American Indian or Alaska Native,189
Alabama,2019,Asian,930
Alabama,2019,Black or African American,18401
Alabama,2019,Native Hawaiian or Other Pacific Islander,76
Alabama,2019,White,37932
Alabama,2019,More than one race,1087
Alaska,2016,American Indian or Alaska Native,2195
Alaska,2016,Asian,729
Alaska,2016,Black or African American,356
Alaska,2016,Native Hawaiian or Other Pacific Islander,298
Alaska,2016,White,6467
Alaska,2016,More than one race,1164
Alaska,2017,American Indian or Alaska Native,1985
Alaska,2017,Asian,720
Alaska,2017,Black or African American,377
Alaska,2017,Native Hawaiian or Other Pacific Islander,326
Alaska,2017,White,5930
Alaska,2017,More than one race,1107
Alaska,2018,American Indian or Alaska Native,1956
Alaska,2018,Asian,659
Alaska,2018,Black or African American,330
Alaska,2018,Native Hawaiian or Other Pacific Islander,312
Alaska,2018,White,5723
Alaska,2018,More than one race,1106
Alaska,2019,American Indian or Alaska Native,1949
Alaska,2019,Asian,613
Alaska,2019,Black or African American,341
Alaska,2019,Native Hawaiian or Other Pacific Islander,321
Alaska,2019,White,5550
Alaska,2019,More than one race,1048
Arizona,2016,American Indian or Alaska Native,5075
Arizona,2016,Asian,3163
Arizona,2016,Black or African American,4568
Arizona,2016,Native Hawaiian or Other Pacific Islander,244
Arizona,2016,White,69241
Arizona,2016,More than one race,2229
Arizona,2017,American Indian or Alaska Native,4868
Arizona,2017,Asian,3124
Arizona,2017,Black or African American,4747
Arizona,2017,Native Hawaiian or Other Pacific Islander,244
Arizona,2017,White,66790
Arizona,2017,More than one race,2099
Arizona,2018,American Indian or Alaska Native,4667
Arizona,2018,Asian,3016
Arizona,2018,Black or African American,4793
Arizona,2018,Native Hawaiian or Other Pacific Islander,288
Arizona,2018,White,65606
Arizona,2018,More than one race,2353
Arizona,2019,American Indian or Alaska Native,4474
Arizona,2019,Asian,2961
Arizona,2019,Black or African American,5043
Arizona,2019,Native Hawaiian or Other Pacific Islander,274
Arizona,2019,White,64192
Arizona,2019,More than one race,2431
Arkansas,2016,American Indian or Alaska Native,270
Arkansas,2016,Asian,866
Arkansas,2016,Black or African American,7462
Arkansas,2016,Native Hawaiian or Other Pacific Islander,469
Arkansas,2016,White,28583
Arkansas,2016,More than one race,624
Arkansas,2017,American Indian or Alaska Native,290
Arkansas,2017,Asian,870
Arkansas,2017,Black or African American,7536
Arkansas,2017,Native Hawaiian or Other Pacific Islander,538
Arkansas,2017,White,27581
Arkansas,2017,More than one race,705
Arkansas,2018,American Indian or Alaska Native,264
Arkansas,2018,Asian,825
Arkansas,2018,Black or African American,7271
Arkansas,2018,Native Hawaiian or Other Pacific Islander,556
Arkansas,2018,White,27419
Arkansas,2018,More than one race,683
Arkansas,2019,American Indian or Alaska Native,253
Arkansas,2019,Asian,761
Arkansas,2019,Black or African American,7362
Arkansas,2019,Native Hawaiian or Other Pacific Islander,617
Arkansas,2019,White,26878
Arkansas,2019,More than one race,693
California,2016,American Indian or Alaska Native,2336
California,2016,Asian,78683
California,2016,Black or African American,26466
California,2016,Native Hawaiian or Other Pacific Islander,2101
California,2016,White,362021
California,2016,More than one race,17220
California,2017,American Indian or Alaska Native,2261
California,2017,Asian,77274
California,2017,Black or African American,26013
California,2017,Native Hawaiian or Other Pacific Islander,2019
California,2017,White,347129
California,2017,More than one race,16962
California,2018,American Indian or Alaska Native,2272
California,2018,Asian,73760
California,2018,Black or African American,24665
California,2018,Native Hawaiian or Other Pacific Islander,1963
California,2018,White,335226
California,2018,More than one race,17034
California,2019,American Indian or Alaska Native,2372
California,2019,Asian,74102
California,2019,Black or African American,25605
California,2019,Native Hawaiian or Other Pacific Islander,2003
California,2019,White,326641
California,2019,More than one race,15756
Colorado,2016,American Indian or Alaska Native,705
Colorado,2016,Asian,2880
Colorado,2016,Black or African American,3638
Colorado,2016,Native Hawaiian or Other Pacific Islander,189
Colorado,2016,White,57367
Colorado,2016,More than one race,1834
Colorado,2017,American Indian or Alaska Native,749
Colorado,2017,Asian,2887
Colorado,2017,Black or African American,3742
Colorado,2017,Native Hawaiian or Other Pacific Islander,192
Colorado,2017,White,54932
Colorado,2017,More than one race,1880
Colorado,2018,American Indian or Alaska Native,733
Colorado,2018,Asian,2704
Colorado,2018,Black or African American,3696
Colorado,2018,Native Hawaiian or Other Pacific Islander,210
Colorado,2018,White,53602
Colorado,2018,More than one race,1940
Colorado,2019,American Indian or Alaska Native,699
Colorado,2019,Asian,2714
Colorado,2019,Black or African American,3620
Colorado,2019,Native Hawaiian or Other Pacific Islander,226
Colorado,2019,White,53697
Colorado,2019,More than one race,1913
Connecticut,2016,American Indian or Alaska Native,142
Connecticut,2016,Asian,2758
Connecticut,2016,Black or African American,5355
Connecticut,2016,Native Hawaiian or Other Pacific Islander,22
Connecticut,2016,White,26897
Connecticut,2016,More than one race,841
Connecticut,2017,American Indian or Alaska Native,165
Connecticut,2017,Asian,2648
Connecticut,2017,Black or African American,5236
Connecticut,2017,Native Hawaiian or Other Pacific Islander,19
Connecticut,2017,White,26292
Connecticut,2017,More than one race,861
Connecticut,2018,American Indian or Alaska Native,210
Connecticut,2018,Asian,2280
Connecticut,2018,Black or African American,5291
Connecticut,2018,Native Hawaiian or Other Pacific Islander,16
Connecticut,2018,White,26017
Connecticut,2018,More than one race,911
Connecticut,2019,American Indian or Alaska Native,264
Connecticut,2019,Asian,2248
Connecticut,2019,Black or African American,5209
Connecticut,2019,Native Hawaiian or Other Pacific Islander,18
Connecticut,2019,White,25639
Connecticut,2019,More than one race,880
Delaware,2016,American Indian or Alaska Native,19
Delaware,2016,Asian,663
Delaware,2016,Black or African American,3075
Delaware,2016,Native Hawaiian or Other Pacific Islander,12
Delaware,2016,White,6942
Delaware,2016,More than one race,281
Delaware,2017,American Indian or Alaska Native,33
Delaware,2017,Asian,695
Delaware,2017,Black or African American,3117
Delaware,2017,White,6669
Delaware,2017,More than one race,333
Delaware,2018,American Indian or Alaska Native,19
Delaware,2018,Asian,651
Delaware,2018,Black or African American,3033
Delaware,2018,White,6597
Delaware,2018,More than one race,314
Delaware,2019,American Indian or Alaska Native,25
Delaware,2019,Asian,640
Delaware,2019,Black or African American,3064
Delaware,2019,Native Hawaiian or Other Pacific Islander,27
Delaware,2019,White,6433
Delaware,2019,More than one race,373
District of Columbia,2016,American Indian or Alaska Native,16
District of Columbia,2016,Asian,497
District of Columbia,2016,Black or African American,5480
District of Columbia,2016,Native Hawaiian or Other Pacific Islander,19
District of Columbia,2016,White,3657
District of Columbia,2016,More than one race,189
District of Columbia,2017,American Indian or Alaska Native,15
District of Columbia,2017,Asian,473
District of Columbia,2017,Black or African American,5202
District of Columbia,2017,Native Hawaiian or Other Pacific Islander,26
District of Columbia,2017,White,3637
District of Columbia,2017,More than one race,207
District of Columbia,2018,American Indian or Alaska Native,25
District of Columbia,2018,Asian,476
District of Columbia,2018,Black or African American,4509
District of Columbia,2018,Native Hawaiian or Other Pacific Islander,49
District of Columbia,2018,White,3971
District of Columbia,2018,More than one race,182
District of Columbia,2019,American Indian or Alaska Native,25
District of Columbia,2019,Asian,422
District of Columbia,2019,Black or African American,4417
District of Columbia,2019,Native Hawaiian or Other Pacific Islander,23
District of Columbia,2019,White,3975
District of Columbia,2019,More than one race,217
Florida,2016,American Indian or Alaska Native,318
Florida,2016,Asian,8086
Florida,2016,Black or African American,56594
Florida,2016,Native Hawaiian or Other Pacific Islander,190
Florida,2016,White,157006
Florida,2016,More than one race,2828
Florida,2017,American Indian or Alaska Native,393
Florida,2017,Asian,7915
Florida,2017,Black or African American,57319
Florida,2017,Native Hawaiian or Other Pacific Islander,223
Florida,2017,White,154504
Florida,2017,More than one race,3276
Florida,2018,American Indian or Alaska Native,472
Florida,2018,Asian,7394
Florida,2018,Black or African American,52349
Florida,2018,Native Hawaiian or Other Pacific Islander,208
Florida,2018,White,157945
Florida,2018,More than one race,3174
Florida,2019,American Indian or Alaska Native,401
Florida,2019,Asian,7441
Florida,2019,Black or African American,52202
Florida,2019,Native Hawaiian or Other Pacific Islander,198
Florida,2019,White,156463
Florida,2019,More than one race,3297
Georgia,2016,American Indian or Alaska Native,213
Georgia,2016,Asian,6434
Georgia,2016,Black or African American,47765
Georgia,2016,Native Hawaiian or Other Pacific Islander,178
Georgia,2016,White,73014
Georgia,2016,More than one race,2438
Georgia,2017,American Indian or Alaska Native,199
Georgia,2017,Asian,6533
Georgia,2017,Black or African American,47309
Georgia,2017,Native Hawaiian or Other Pacific Islander,178
Georgia,2017,White,72415
Georgia,2017,More than one race,2609
Georgia,2018,American Indian or Alaska Native,177
Georgia,2018,Asian,6114
Georgia,2018,Black or African American,45257
Georgia,2018,Native Hawaiian or Other Pacific Islander,205
Georgia,2018,White,71810
Georgia,2018,More than one race,2609
Georgia,2019,American Indian or Alaska Native,151
Georgia,2019,Asian,6093
Georgia,2019,Black or African American,45271
Georgia,2019,Native Hawaiian or Other Pacific Islander,207
Georgia,2019,White,71961
Georgia,2019,More than one race,2688
Hawaii,2016,American Indian or Alaska Native,31
Hawaii,2016,Asian,4652
Hawaii,2016,Black or African American,472
Hawaii,2016,Native Hawaiian or Other Pacific Islander,1767
Hawaii,2016,White,4706
Hawaii,2016,More than one race,6431
Hawaii,2017,American Indian or Alaska Native,41
Hawaii,2017,Asian,4689
Hawaii,2017,Black or African American,409
Hawaii,2017,Native Hawaiian or Other Pacific Islander,1706
Hawaii,2017,White,4398
Hawaii,2017,More than one race,6274
Hawaii,2018,American Indian or Alaska Native,37
Hawaii,2018,Asian,4407
Hawaii,2018,Black or African American,432
Hawaii,2018,Native Hawaiian or Other Pacific Islander,1713
Hawaii,2018,White,4265
Hawaii,2018,More than one race,6118
Hawaii,2019,American Indian or Alaska Native,31
Hawaii,2019,Asian,4373
Hawaii,2019,Black or African American,436
Hawaii,2019,Native Hawaiian or Other Pacific Islander,1710
Hawaii,2019,White,4210
Hawaii,2019,More than one race,6037
Idaho,2016,American Indian or Alaska Native,366
Idaho,2016,Asian,393
Idaho,2016,Black or African American,244
Idaho,2016,Native Hawaiian or Other Pacific Islander,65
Idaho,2016,White,21013
Idaho,2016,More than one race,401
Idaho,2017,American Indian or Alaska Native,367
Idaho,2017,Asian,411
Idaho,2017,Black or African American,286
Idaho,2017,Native Hawaiian or Other Pacific Islander,62
Idaho,2017,White,20590
Idaho,2017,More than one race,465
Idaho,2018,American Indian or Alaska Native,313
Idaho,2018,Asian,389
Idaho,2018,Black or African American,286
Idaho,2018,Native Hawaiian or Other Pacific Islander,81
Idaho,2018,White,19917
Idaho,2018,More than one race,417
Idaho,2019,American Indian or Alaska Native,346
Idaho,2019,Asian,390
Idaho,2019,Black or African American,304
Idaho,2019,Native Hawaiian or Other Pacific Islander,79
Idaho,2019,White,20437
Idaho,2019,More than one race,507
Illinois,2016,American Indian or Alaska Native,150
Illinois,2016,Asian,10403
Illinois,2016,Black or African American,27008
Illinois,2016,Native Hawaiian or Other Pacific Islander,56
Illinois,2016,White,114710
Illinois,2016,More than one race,2118
