state,year,sex,pluarlity,age,births
Alabama,2016,Female,Single,Under 15 years,20
Alabama,2016,Female,Single,15-19 years,2086
Alabama,2016,Female,Single,20-24 years,7610
Alabama,2016,Female,Single,25-29 years,8712
Alabama,2016,Female,Single,30-34 years,6264
Alabama,2016,Female,Single,35-39 years,2580
Alabama,2016,Female,Single,40-44 years,437
Alabama,2016,Female,Single,45-49 years,17
Alabama,2016,Female,Twin,15-19 years,44
Alabama,2016,Female,Twin,20-24 years,237
Alabama,2016,Female,Twin,25-29 years,354
Alabama,2016,Female,Twin,30-34 years,305
Alabama,2016,Female,Twin,35-39 years,117
Alabama,2016,Female,Twin,40-44 years,19
Alabama,2016,Female,Triplet,25-29 years,16
Alabama,2016,Female,Triplet,35-39 years,15
Alabama,2016,Male,Single,Under 15 years,28
Alabama,2016,Male,Single,15-19 years,2301
Alabama,2016,Male,Single,20-24 years,7991
Alabama,2016,Male,Single,25-29 years,9179
Alabama,2016,Male,Single,30-34 years,6518
Alabama,2016,Male,Single,35-39 years,2662
Alabama,2016,Male,Single,40-44 years,455
Alabama,2016,Male,Single,45-49 years,15
Alabama,2016,Male,Twin,15-19 years,46
Alabama,2016,Male,Twin,20-24 years,222
Alabama,2016,Male,Twin,25-29 years,378
Alabama,2016,Male,Twin,30-34 years,321
Alabama,2016,Male,Twin,35-39 years,122
Alabama,2016,Male,Twin,40-44 years,13
Alabama,2016,Male,Triplet,25-29 years,10
Alabama,2017,Female,Single,Under 15 years,22
Alabama,2017,Female,Single,15-19 years,2016
Alabama,2017,Female,Single,20-24 years,7387
Alabama,2017,Female,Single,25-29 years,8781
Alabama,2017,Female,Single,30-34 years,6427
Alabama,2017,Female,Single,35-39 years,2670
Alabama,2017,Female,Single,40-44 years,466
Alabama,2017,Female,Single,45-49 years,21
Alabama,2017,Female,Twin,15-19 years,40
Alabama,2017,Female,Twin,20-24 years,238
Alabama,2017,Female,Twin,25-29 years,340
Alabama,2017,Female,Twin,30-34 years,277
Alabama,2017,Female,Twin,35-39 years,105
Alabama,2017,Female,Twin,40-44 years,25
Alabama,2017,Female,Triplet,25-29 years,13
Alabama,2017,Female,Triplet,30-34 years,17
Alabama,2017,Female,Triplet,35-39 years,10
Alabama,2017,Male,Single,Under 15 years,22
Alabama,2017,Male,Single,15-19 years,2143
Alabama,2017,Male,Single,20-24 years,7896
Alabama,2017,Male,Single,25-29 years,9270
Alabama,2017,Male,Single,30-34 years,6449
Alabama,2017,Male,Single,35-39 years,2702
Alabama,2017,Male,Single,40-44 years,469
Alabama,2017,Male,Single,45-49 years,24
Alabama,2017,Male,Twin,15-19 years,41
Alabama,2017,Male,Twin,20-24 years,246
Alabama,2017,Male,Twin,25-29 years,356
Alabama,2017,Male,Twin,30-34 years,240
Alabama,2017,Male,Twin,35-39 years,140
Alabama,2017,Male,Twin,40-44 years,16
Alabama,2017,Male,Triplet,25-29 years,14
Alabama,2017,Male,Triplet,30-34 years,15
Alabama,2017,Male,Triplet,35-39 years,11
Alabama,2018,Female,Single,Under 15 years,15
Alabama,2018,Female,Single,15-19 years,1889
Alabama,2018,Female,Single,20-24 years,7155
Alabama,2018,Female,Single,25-29 years,8514
Alabama,2018,Female,Single,30-34 years,6247
Alabama,2018,Female,Single,35-39 years,2624
Alabama,2018,Female,Single,40-44 years,448
Alabama,2018,Female,Single,45-49 years,21
Alabama,2018,Female,Twin,15-19 years,37
Alabama,2018,Female,Twin,20-24 years,226
Alabama,2018,Female,Twin,25-29 years,339
Alabama,2018,Female,Twin,30-34 years,276
Alabama,2018,Female,Twin,35-39 years,134
Alabama,2018,Female,Twin,40-44 years,17
Alabama,2018,Female,Triplet,25-29 years,11
Alabama,2018,Female,Triplet,30-34 years,24
Alabama,2018,Male,Single,Under 15 years,23
Alabama,2018,Male,Single,15-19 years,1957
Alabama,2018,Male,Single,20-24 years,7680
Alabama,2018,Male,Single,25-29 years,9147
Alabama,2018,Male,Single,30-34 years,6589
Alabama,2018,Male,Single,35-39 years,2782
Alabama,2018,Male,Single,40-44 years,530
Alabama,2018,Male,Single,45-49 years,29
Alabama,2018,Male,Twin,15-19 years,41
Alabama,2018,Male,Twin,20-24 years,198
Alabama,2018,Male,Twin,25-29 years,326
Alabama,2018,Male,Twin,30-34 years,259
Alabama,2018,Male,Twin,35-39 years,127
Alabama,2018,Male,Twin,40-44 years,25
Alabama,2018,Male,Triplet,30-34 years,27
Alabama,2019,Female,Single,Under 15 years,28
Alabama,2019,Female,Single,15-19 years,1904
Alabama,2019,Female,Single,20-24 years,7200
Alabama,2019,Female,Single,25-29 years,8684
Alabama,2019,Female,Single,30-34 years,6433
Alabama,2019,Female,Single,35-39 years,2660
Alabama,2019,Female,Single,40-44 years,471
Alabama,2019,Female,Single,45-49 years,23
Alabama,2019,Female,Twin,15-19 years,41
Alabama,2019,Female,Twin,20-24 years,198
Alabama,2019,Female,Twin,25-29 years,299
Alabama,2019,Female,Twin,30-34 years,282
Alabama,2019,Female,Twin,35-39 years,148
Alabama,2019,Female,Twin,40-44 years,14
Alabama,2019,Female,Triplet,30-34 years,14
Alabama,2019,Male,Single,Under 15 years,17
Alabama,2019,Male,Single,15-19 years,1979
Alabama,2019,Male,Single,20-24 years,7692
Alabama,2019,Male,Single,25-29 years,9319
Alabama,2019,Male,Single,30-34 years,6749
Alabama,2019,Male,Single,35-39 years,2833
Alabama,2019,Male,Single,40-44 years,544
Alabama,2019,Male,Single,45-49 years,34
Alabama,2019,Male,Twin,15-19 years,31
Alabama,2019,Male,Twin,20-24 years,186
Alabama,2019,Male,Twin,25-29 years,340
Alabama,2019,Male,Twin,30-34 years,294
Alabama,2019,Male,Twin,35-39 years,138
Alabama,2019,Male,Twin,40-44 years,18
Alaska,2016,Female,Single,15-19 years,274
Alaska,2016,Female,Single,20-24 years,1229
Alaska,2016,Female,Single,25-29 years,1673
Alaska,2016,Female,Single,30-34 years,1371
Alaska,2016,Female,Single,35-39 years,601
Alaska,2016,Female,Single,40-44 years,106
Alaska,2016,Female,Twin,20-24 years,25
Alaska,2016,Female,Twin,25-29 years,38
Alaska,2016,Female,Twin,30-34 years,70
Alaska,2016,Female,Twin,35-39 years,36
Alaska,2016,Male,Single,15-19 years,297
Alaska,2016,Male,Single,20-24 years,1277
Alaska,2016,Male,Single,25-29 years,1773
Alaska,2016,Male,Single,30-34 years,1462
Alaska,2016,Male,Single,35-39 years,634
Alaska,2016,Male,Single,40-44 years,110
Alaska,2016,Male,Twin,15-19 years,10
Alaska,2016,Male,Twin,20-24 years,32
Alaska,2016,Male,Twin,25-29 years,59
Alaska,2016,Male,Twin,30-34 years,62
Alaska,2016,Male,Twin,35-39 years,28
Alaska,2017,Female,Single,15-19 years,235
Alaska,2017,Female,Single,20-24 years,1094
Alaska,2017,Female,Single,25-29 years,1595
Alaska,2017,Female,Single,30-34 years,1257
Alaska,2017,Female,Single,35-39 years,621
Alaska,2017,Female,Single,40-44 years,117
Alaska,2017,Female,Single,45-49 years,10
Alaska,2017,Female,Twin,20-24 years,23
Alaska,2017,Female,Twin,25-29 years,57
Alaska,2017,Female,Twin,30-34 years,50
Alaska,2017,Female,Twin,35-39 years,29
Alaska,2017,Male,Single,15-19 years,243
Alaska,2017,Male,Single,20-24 years,1106
Alaska,2017,Male,Single,25-29 years,1688
Alaska,2017,Male,Single,30-34 years,1380
Alaska,2017,Male,Single,35-39 years,634
Alaska,2017,Male,Single,40-44 years,145
Alaska,2017,Male,Single,45-49 years,10
Alaska,2017,Male,Twin,20-24 years,36
Alaska,2017,Male,Twin,25-29 years,29
Alaska,2017,Male,Twin,30-34 years,45
Alaska,2017,Male,Twin,35-39 years,16
Alaska,2018,Female,Single,15-19 years,220
Alaska,2018,Female,Single,20-24 years,1018
Alaska,2018,Female,Single,25-29 years,1440
Alaska,2018,Female,Single,30-34 years,1300
Alaska,2018,Female,Single,35-39 years,612
Alaska,2018,Female,Single,40-44 years,114
Alaska,2018,Female,Twin,20-24 years,24
Alaska,2018,Female,Twin,25-29 years,49
Alaska,2018,Female,Twin,30-34 years,47
Alaska,2018,Female,Twin,35-39 years,27
Alaska,2018,Male,Single,15-19 years,193
Alaska,2018,Male,Single,20-24 years,1110
Alaska,2018,Male,Single,25-29 years,1597
Alaska,2018,Male,Single,30-34 years,1364
Alaska,2018,Male,Single,35-39 years,635
Alaska,2018,Male,Single,40-44 years,124
Alaska,2018,Male,Twin,20-24 years,30
Alaska,2018,Male,Twin,25-29 years,51
Alaska,2018,Male,Twin,30-34 years,50
Alaska,2018,Male,Twin,35-39 years,27
Alaska,2019,Female,Single,15-19 years,189
Alaska,2019,Female,Single,20-24 years,960
Alaska,2019,Female,Single,25-29 years,1427
Alaska,2019,Female,Single,30-34 years,1209
Alaska,2019,Female,Single,35-39 years,648
Alaska,2019,Female,Single,40-44 years,138
Alaska,2019,Female,Twin,20-24 years,19
Alaska,2019,Female,Twin,25-29 years,40
Alaska,2019,Female,Twin,30-34 years,31
Alaska,2019,Female,Twin,35-39 years,26
Alaska,2019,Male,Single,15-19 years,199
Alaska,2019,Male,Single,20-24 years,1054
Alaska,2019,Male,Single,25-29 years,1566
Alaska,2019,Male,Single,30-34 years,1340
Alaska,2019,Male,Single,35-39 years,650
Alaska,2019,Male,Single,40-44 years,137
Alaska,2019,Male,Single,45-49 years,14
Alaska,2019,Male,Twin,20-24 years,17
Alaska,2019,Male,Twin,25-29 years,51
Alaska,2019,Male,Twin,30-34 years,42
Alaska,2019,Male,Twin,35-39 years,29
Arizona,2016,Female,Single,Under 15 years,24
Arizona,2016,Female,Single,15-19 years,2597
Arizona,2016,Female,Single,20-24 years,9590
Arizona,2016,Female,Single,25-29 years,12075
Arizona,2016,Female,Single,30-34 years,10130
Arizona,2016,Female,Single,35-39 years,4713
Arizona,2016,Female,Single,40-44 years,1006
Arizona,2016,Female,Single,45-49 years,70
Arizona,2016,Female,Twin,15-19 years,34
Arizona,2016,Female,Twin,20-24 years,178
Arizona,2016,Female,Twin,25-29 years,400
Arizona,2016,Female,Twin,30-34 years,367
Arizona,2016,Female,Twin,35-39 years,239
Arizona,2016,Female,Twin,40-44 years,58
Arizona,2016,Female,Triplet,30-34 years,12
Arizona,2016,Male,Single,Under 15 years,31
Arizona,2016,Male,Single,15-19 years,2696
Arizona,2016,Male,Single,20-24 years,9871
Arizona,2016,Male,Single,25-29 years,12539
Arizona,2016,Male,Single,30-34 years,10475
Arizona,2016,Male,Single,35-39 years,5015
Arizona,2016,Male,Single,40-44 years,980
Arizona,2016,Male,Single,45-49 years,46
Arizona,2016,Male,Twin,15-19 years,30
Arizona,2016,Male,Twin,20-24 years,211
Arizona,2016,Male,Twin,25-29 years,352
Arizona,2016,Male,Twin,30-34 years,410
Arizona,2016,Male,Twin,35-39 years,219
Arizona,2016,Male,Twin,40-44 years,61
Arizona,2016,Male,Twin,45-49 years,15
Arizona,2016,Male,Triplet,20-24 years,14
Arizona,2016,Male,Triplet,25-29 years,10
Arizona,2016,Male,Triplet,30-34 years,12
Arizona,2017,Female,Single,Under 15 years,21
Arizona,2017,Female,Single,15-19 years,2431
Arizona,2017,Female,Single,20-24 years,8846
Arizona,2017,Female,Single,25-29 years,11891
Arizona,2017,Female,Single,30-34 years,9795
Arizona,2017,Female,Single,35-39 years,4873
Arizona,2017,Female,Single,40-44 years,977
Arizona,2017,Female,Single,45-49 years,71
Arizona,2017,Female,Twin,15-19 years,40
Arizona,2017,Female,Twin,20-24 years,184
Arizona,2017,Female,Twin,25-29 years,360
Arizona,2017,Female,Twin,30-34 years,429
Arizona,2017,Female,Twin,35-39 years,234
Arizona,2017,Female,Twin,40-44 years,66
Arizona,2017,Female,Twin,45-49 years,14
Arizona,2017,Female,Triplet,35-39 years,12
Arizona,2017,Male,Single,Under 15 years,15
Arizona,2017,Male,Single,15-19 years,2525
Arizona,2017,Male,Single,20-24 years,9331
Arizona,2017,Male,Single,25-29 years,12252
Arizona,2017,Male,Single,30-34 years,10125
Arizona,2017,Male,Single,35-39 years,4894
Arizona,2017,Male,Single,40-44 years,1085
Arizona,2017,Male,Single,45-49 years,63
Arizona,2017,Male,Twin,15-19 years,29
Arizona,2017,Male,Twin,20-24 years,186
Arizona,2017,Male,Twin,25-29 years,329
Arizona,2017,Male,Twin,30-34 years,416
Arizona,2017,Male,Twin,35-39 years,227
Arizona,2017,Male,Twin,40-44 years,45
Arizona,2017,Male,Twin,45-49 years,20
Arizona,2017,Male,Triplet,25-29 years,11
Arizona,2017,Male,Triplet,30-34 years,20
