state,year,race,age,education,births
Alabama,2016,American Indian or Alaska Native,20-24 years,9th through 12th grade with no diploma,10
Alabama,2016,American Indian or Alaska Native,20-24 years,High school graduate or GED completed,19
Alabama,2016,American Indian or Alaska Native,20-24 years,"Some college credit, but not a degree",12
Alabama,2016,American Indian or Alaska Native,25-29 years,High school graduate or GED completed,18
Alabama,2016,American Indian or Alaska Native,25-29 years,"Some college credit, but not a degree",10
Alabama,2016,Asian,20-24 years,High school graduate or GED completed,24
Alabama,2016,Asian,20-24 years,"Some college credit, but not a degree",19
Alabama,2016,Asian,20-24 years,"Bachelor's degree (BA, AB, BS)",15
Alabama,2016,Asian,25-29 years,9th through 12th grade with no diploma,17
Alabama,2016,Asian,25-29 years,High school graduate or GED completed,56
Alabama,2016,Asian,25-29 years,"Some college credit, but not a degree",40
Alabama,2016,Asian,25-29 years,"Associate degree (AA, AS)",16
Alabama,2016,Asian,25-29 years,"Bachelor's degree (BA, AB, BS)",101
Alabama,2016,Asian,25-29 years,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",49
Alabama,2016,Asian,25-29 years,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",12
Alabama,2016,Asian,30-34 years,9th through 12th grade with no diploma,16
Alabama,2016,Asian,30-34 years,High school graduate or GED completed,64
Alabama,2016,Asian,30-34 years,"Some college credit, but not a degree",25
Alabama,2016,Asian,30-34 years,"Associate degree (AA, AS)",18
Alabama,2016,Asian,30-34 years,"Bachelor's degree (BA, AB, BS)",133
Alabama,2016,Asian,30-34 years,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",87
Alabama,2016,Asian,30-34 years,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",47
Alabama,2016,Asian,35-39 years,9th through 12th grade with no diploma,11
Alabama,2016,Asian,35-39 years,High school graduate or GED completed,33
Alabama,2016,Asian,35-39 years,"Some college credit, but not a degree",15
Alabama,2016,Asian,35-39 years,"Associate degree (AA, AS)",14
Alabama,2016,Asian,35-39 years,"Bachelor's degree (BA, AB, BS)",68
Alabama,2016,Asian,35-39 years,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",39
