id,Year,State of Residence,Births
1,2016,Alabama,59151
2,2016,Alaska,11209
3,2016,Arizona,84520
4,2016,Arkansas,38274
5,2016,California,488827
6,2016,Colorado,66613
7,2016,Connecticut,36015
8,2016,Delaware,10992
9,2016,District of Columbia,9858
10,2016,Florida,225022
11,2016,Georgia,130042
12,2016,Hawaii,18059
13,2016,Idaho,22482
14,2016,Illinois,154445
15,2016,Indiana,83091
16,2016,Iowa,39403
17,2016,Kansas,38053
18,2016,Kentucky,55449
19,2016,Louisiana,63178
20,2016,Maine,12705
21,2016,Maryland,73136
22,2016,Massachusetts,71317
23,2016,Michigan,113315
24,2016,Minnesota,69749
25,2016,Mississippi,37928
26,2016,Missouri,74705
27,2016,Montana,12282
28,2016,Nebraska,26589
29,2016,Nevada,36260
30,2016,New Hampshire,12267
31,2016,New Jersey,102647
32,2016,New Mexico,24692
33,2016,New York,234283
34,2016,North Carolina,120779
35,2016,North Dakota,11383
36,2016,Ohio,138085
37,2016,Oklahoma,52592
38,2016,Oregon,45535
39,2016,Pennsylvania,139409
40,2016,Rhode Island,10798
41,2016,South Carolina,57342
42,2016,South Dakota,12275
43,2016,Tennessee,80807
44,2016,Texas,398047
45,2016,Utah,50464
46,2016,Vermont,5756
47,2016,Virginia,102460
48,2016,Washington,90505
49,2016,West Virginia,19079
50,2016,Wisconsin,66615
51,2016,Wyoming,7386
52,2017,Alabama,58941
53,2017,Alaska,10445
54,2017,Arizona,81872
55,2017,Arkansas,37520
56,2017,California,471658
57,2017,Colorado,64382
58,2017,Connecticut,35221
59,2017,Delaware,10855
60,2017,District of Columbia,9560
61,2017,Florida,223630
62,2017,Georgia,129243
63,2017,Hawaii,17517
64,2017,Idaho,22181
65,2017,Illinois,149390
66,2017,Indiana,82170
67,2017,Iowa,38430
68,2017,Kansas,36519
69,2017,Kentucky,54752
70,2017,Louisiana,61018
71,2017,Maine,12298
72,2017,Maryland,71641
73,2017,Massachusetts,70702
74,2017,Michigan,111426
75,2017,Minnesota,68595
76,2017,Mississippi,37357
77,2017,Missouri,73034
78,2017,Montana,11799
79,2017,Nebraska,25821
80,2017,Nevada,35756
81,2017,New Hampshire,12116
82,2017,New Jersey,101250
83,2017,New Mexico,23767
84,2017,New York,229737
85,2017,North Carolina,120125
86,2017,North Dakota,10737
87,2017,Ohio,136832
88,2017,Oklahoma,50214
89,2017,Oregon,43631
90,2017,Pennsylvania,137745
91,2017,Rhode Island,10638
92,2017,South Carolina,57029
93,2017,South Dakota,12134
94,2017,Tennessee,81016
95,2017,Texas,382050
96,2017,Utah,48585
97,2017,Vermont,5655
98,2017,Virginia,100391
99,2017,Washington,87562
100,2017,West Virginia,18675
101,2017,Wisconsin,64975
102,2017,Wyoming,6903
103,2018,Alabama,57761
104,2018,Alaska,10086
105,2018,Arizona,80723
106,2018,Arkansas,37018
107,2018,California,454920
108,2018,Colorado,62885
109,2018,Connecticut,34725
110,2018,Delaware,10621
111,2018,District of Columbia,9212
112,2018,Florida,221542
113,2018,Georgia,126172
114,2018,Hawaii,16972
115,2018,Idaho,21403
116,2018,Illinois,144815
117,2018,Indiana,81646
118,2018,Iowa,37785
119,2018,Kansas,36261
120,2018,Kentucky,53922
121,2018,Louisiana,59615
122,2018,Maine,12311
123,2018,Maryland,71080
124,2018,Massachusetts,69109
125,2018,Michigan,110032
126,2018,Minnesota,67344
127,2018,Mississippi,37000
128,2018,Missouri,73269
129,2018,Montana,11513
130,2018,Nebraska,25488
131,2018,Nevada,35682
132,2018,New Hampshire,11995
133,2018,New Jersey,101223
134,2018,New Mexico,23039
135,2018,New York,226238
136,2018,North Carolina,118954
137,2018,North Dakota,10636
138,2018,Ohio,135134
139,2018,Oklahoma,49800
140,2018,Oregon,42188
141,2018,Pennsylvania,135673
142,2018,Rhode Island,10506
143,2018,South Carolina,56669
144,2018,South Dakota,11893
145,2018,Tennessee,80751
146,2018,Texas,378624
147,2018,Utah,47209
148,2018,Vermont,5432
149,2018,Virginia,99843
150,2018,Washington,86085
151,2018,West Virginia,18248
152,2018,Wisconsin,64098
153,2018,Wyoming,6562
154,2019,Alabama,58615
155,2019,Alaska,9822
156,2019,Arizona,79375
157,2019,Arkansas,36564
158,2019,California,446479
159,2019,Colorado,62869
160,2019,Connecticut,34258
161,2019,Delaware,10562
162,2019,District of Columbia,9079
163,2019,Florida,220002
164,2019,Georgia,126371
165,2019,Hawaii,16797
166,2019,Idaho,22063
167,2019,Illinois,140128
168,2019,Indiana,80859
169,2019,Iowa,37649
170,2019,Kansas,35395
171,2019,Kentucky,53069
172,2019,Louisiana,58941
173,2019,Maine,11779
174,2019,Maryland,70178
175,2019,Massachusetts,69117
176,2019,Michigan,107886
177,2019,Minnesota,66027
178,2019,Mississippi,36636
179,2019,Missouri,72127
180,2019,Montana,11079
181,2019,Nebraska,24755
182,2019,Nevada,35072
183,2019,New Hampshire,11839
184,2019,New Jersey,99585
185,2019,New Mexico,22960
186,2019,New York,221539
187,2019,North Carolina,118725
188,2019,North Dakota,10454
189,2019,Ohio,134461
190,2019,Oklahoma,49143
191,2019,Oregon,41858
192,2019,Pennsylvania,134230
193,2019,Rhode Island,10175
194,2019,South Carolina,57038
195,2019,South Dakota,11449
196,2019,Tennessee,80450
197,2019,Texas,377599
198,2019,Utah,46826
199,2019,Vermont,5361
200,2019,Virginia,97429
201,2019,Washington,84895
202,2019,West Virginia,18136
203,2019,Wisconsin,63270
204,2019,Wyoming,6565
