state,year,births,totalpop,birthrate,femalepop,fertilityrate
Alabama,2016,59151,4863300,12.16,952796,62.08
Alabama,2017,58941,4874747,12.09,949949,62.05
Alabama,2018,57761,4887871,11.82,948768,60.88
Alabama,2019,58615,4903185,11.95,949318,61.74
Alabama,,234468,19529103,12.01,3800831,61.69
Alaska,2016,11209,741894,15.11,147371,76.06
Alaska,2017,10445,739795,14.12,146072,71.51
Alaska,2018,10086,737438,13.68,145589,69.28
Alaska,2019,9822,731545,13.43,144302,68.07
Alaska,,41562,2950672,14.09,583334,71.25
Arizona,2016,84520,6931071,12.19,1330368,63.53
Arizona,2017,81872,7016270,11.67,1345764,60.84
Arizona,2018,80723,7171646,11.26,1377098,58.62
Arizona,2019,79375,7278717,10.91,1398758,56.75
Arizona,,326490,28397704,11.5,5451988,59.88
Arkansas,2016,38274,2988248,12.81,576758,66.36
Arkansas,2017,37520,3004279,12.49,577447,64.98
Arkansas,2018,37018,3013825,12.28,577998,64.05
Arkansas,2019,36564,3017804,12.12,578319,63.22
Arkansas,,149376,12024156,12.42,2310522,64.65
California,2016,488827,39250017,12.45,8062336,60.63
California,2017,471658,39536653,11.93,8104632,58.2
California,2018,454920,39557045,11.5,8089001,56.24
California,2019,446479,39512223,11.3,8065265,55.36
California,,1861884,157855938,11.79,32321234,57.61
Colorado,2016,66613,5540545,12.02,1123134,59.31
Colorado,2017,64382,5607154,11.48,1137745,56.59
Colorado,2018,62885,5695564,11.04,1161860,54.12
Colorado,2019,62869,5758736,10.92,1179141,53.32
Colorado,,256749,22601999,11.36,4601880,55.79
Connecticut,2016,36015,3576452,10.07,674231,53.42
Connecticut,2017,35221,3588184,9.82,672949,52.34
Connecticut,2018,34725,3572665,9.72,669829,51.84
Connecticut,2019,34258,3565287,9.61,670572,51.09
Connecticut,,140219,14302588,9.8,2687581,52.17
Delaware,2016,10992,952065,11.55,179716,61.16
Delaware,2017,10855,961939,11.28,180343,60.19
Delaware,2018,10621,967171,10.98,179749,59.09
