State of Residence,Year,Mother's Single Race 6,Age of Mother 9,Births,Female Population,Fertility Rate
Alabama,2016,American Indian or Alaska Native,15-19 years,14,1211,11.56
Alabama,2016,American Indian or Alaska Native,20-24 years,50,1184,42.23
Alabama,2016,American Indian or Alaska Native,25-29 years,34,1127,30.17
Alabama,2016,American Indian or Alaska Native,30-34 years,21,1179,17.81
Alabama,2016,American Indian or Alaska Native,35-39 years,12,1184,10.14
Alabama,2016,Asian,15-19 years,14,2302,6.08
Alabama,2016,Asian,20-24 years,79,3080,25.65
Alabama,2016,Asian,25-29 years,297,2668,111.32
Alabama,2016,Asian,30-34 years,398,2992,133.02
Alabama,2016,Asian,35-39 years,221,3245,68.1
Alabama,2016,Asian,40-44 years,29,3119,9.3
Alabama,2016,Black or African American,Under 15 years,29,Not Available,Not Available
Alabama,2016,Black or African American,15-19 years,1762,49586,35.53
Alabama,2016,Black or African American,20-24 years,6065,55358,109.56
Alabama,2016,Black or African American,25-29 years,5413,52746,102.62
Alabama,2016,Black or African American,30-34 years,3227,47533,67.89
Alabama,2016,Black or African American,35-39 years,1422,47147,30.16
Alabama,2016,Black or African American,40-44 years,256,43649,5.86
Alabama,2016,Native Hawaiian or Other Pacific Islander,15-19 years,17,207,82.13
Alabama,2016,Native Hawaiian or Other Pacific Islander,20-24 years,34,161,211.18
Alabama,2016,Native Hawaiian or Other Pacific Islander,25-29 years,43,199,216.08
Alabama,2016,Native Hawaiian or Other Pacific Islander,30-34 years,31,270,114.81
Alabama,2016,Native Hawaiian or Other Pacific Islander,35-39 years,16,238,67.23
Alabama,2016,White,Under 15 years,18,Not Available,Not Available
Alabama,2016,White,15-19 years,2543,100856,25.21
Alabama,2016,White,20-24 years,9562,102262,93.5
Alabama,2016,White,25-29 years,12599,108548,116.07
Alabama,2016,White,30-34 years,9633,101872,94.56
Alabama,2016,White,35-39 years,3770,100798,37.4
Alabama,2016,White,40-44 years,625,101699,6.15
Alabama,2016,White,45-49 years,23,Not Available,Not Available
Alabama,2016,More than one race,15-19 years,130,3846,33.8
Alabama,2016,More than one race,20-24 years,276,3252,84.87
Alabama,2016,More than one race,25-29 years,263,2458,107
Alabama,2016,More than one race,30-34 years,130,2051,63.38
Alabama,2016,More than one race,35-39 years,64,1848,34.63
Alabama,2016,More than one race,40-44 years,10,1653,6.05
Alabama,2017,American Indian or Alaska Native,20-24 years,42,1124,37.37
Alabama,2017,American Indian or Alaska Native,25-29 years,53,1132,46.82
Alabama,2017,American Indian or Alaska Native,30-34 years,33,1200,27.5
Alabama,2017,American Indian or Alaska Native,35-39 years,12,1147,10.46
Alabama,2017,Asian,20-24 years,76,2967,25.62
Alabama,2017,Asian,25-29 years,284,2674,106.21
Alabama,2017,Asian,30-34 years,392,2932,133.7
Alabama,2017,Asian,35-39 years,203,3242,62.62
Alabama,2017,Asian,40-44 years,42,3149,13.34
Alabama,2017,Black or African American,Under 15 years,23,Not Available,Not Available
