State,2016,2017,2018,2019
Alabama,59151,58941,57761,58615
Alaska,11209,10445,10086,9822
Arizona,84520,81872,80723,79375
Arkansas,38274,37520,37018,36564
California,488827,471658,454920,446479
Colorado,66613,64382,62885,62869
Connecticut,36015,35221,34725,34258
Delaware,10992,10847,10614,10562
District of Columbia,9858,9560,9212,9079
Florida,225022,223630,221542,220002
Georgia,130042,129243,126172,126371
Hawaii,18059,17517,16972,16797
Idaho,22482,22181,21403,22063
Illinois,154445,149390,144815,140128
Indiana,83091,82170,81646,80859
Iowa,39403,38430,37785,37649
Kansas,38053,36519,36261,35395
Kentucky,55449,54752,53922,53069
Louisiana,63178,61018,59615,58941
Maine,12702,12294,12308,11772
Maryland,73136,71641,71080,70178
Massachusetts,71317,70702,69109,69117
Michigan,113315,111426,110032,107886
Minnesota,69749,68595,67344,66027
Mississippi,37928,37357,37000,36636
Missouri,74705,73034,73269,72127
Montana,12282,11799,11513,11079
Nebraska,26589,25821,25488,24755
Nevada,36260,35756,35682,35072
New Hampshire,12262,12110,11995,11839
New Jersey,102647,101250,101223,99585
New Mexico,24692,23767,23039,22960
New York,234283,229737,226238,221539
North Carolina,120779,120125,118954,118725
North Dakota,11383,10737,10636,10454
Ohio,138085,136832,135134,134461
Oklahoma,52592,50214,49800,49143
Oregon,45535,43631,42188,41858
Pennsylvania,139409,137745,135673,134230
Rhode Island,10798,10638,10506,10175
South Carolina,57342,57029,56669,57038
South Dakota,12275,12134,11893,11449
Tennessee,80807,81016,80751,80450
Texas,398047,382050,378624,377599
Utah,50464,48585,47209,46826
Vermont,5754,5652,5431,5360
Virginia,102460,100391,99843,97429
Washington,90505,87562,86085,84895
West Virginia,19072,18675,18241,18128
Wisconsin,66615,64975,64098,63270
Wyoming,7379,6894,6562,6565
