state_of_residence,total
Alabama,59151
Alaska,11209
Arizona,84520
Arkansas,38274
California,488827
Colorado,66613
Connecticut,36015
Delaware,10992
District of Columbia,9858
Florida,225022
Georgia,130042
Hawaii,18059
Idaho,22482
Illinois,154445
Indiana,83091
Iowa,39403
Kansas,38053
Kentucky,55449
Louisiana,63178
Maine,12705
Maryland,73136
Massachusetts,71317
Michigan,113315
Minnesota,69749
Mississippi,37928
Missouri,74705
Montana,12282
Nebraska,26589
Nevada,36260
New Hampshire,12267
New Jersey,102647
New Mexico,24692
New York,234283
North Carolina,120779
North Dakota,11383
Ohio,138085
Oklahoma,52592
Oregon,45535
Pennsylvania,139409
Rhode Island,10798
South Carolina,57342
South Dakota,12275
Tennessee,80807
Texas,398047
Utah,50464
Vermont,5756
Virginia,102460
Washington,90505
West Virginia,19079
Wisconsin,66615
Wyoming,7386
Grand Total,3945875
